Arvind Krishnamurthy,University of Washington,USA,https://www.cs.washington.edu/people/faculty/arvind/
Bhaskaran Raman,IIT Bombay,India,https://www.cse.iitb.ac.in/~br/
Boon Thau Loo,University of Pennsylvania,USA,http://www.cis.upenn.edu/~boonloo/
Brent Stephens,University of Wisconsin-Madison,USA,http://pages.cs.wisc.edu/~brentstephens/
Chuanxiong Guo,Toutiao,China,http://sysnetome.com/
Colin Dixon,Facebook,USA,https://colindixon.com/
Dongsu Han,KAIST,Korea,http://ina.kaist.ac.kr/~dongsuh/
Eitan Zahavi,Mellanox,Israel,https://www.researchgate.net/profile/Eitan_Zahavi
Fadel Adib,MIT,USA,http://www.mit.edu/~fadel/
Fengyuan Ren,Tsinghua University,China,https://nns.cs.tsinghua.edu.cn/~renfy/
Haifeng Yu,National University of Singapore,Singapore,https://www.comp.nus.edu.sg/~yuhf/
Haitham Hassanieh,UIUC,USA,http://haitham.ece.illinois.edu/
Harsha V. Madhyastha,University of Michigan,USA,https://web.eecs.umich.edu/~harshavm/
Ihsan Ayyub Qazi,Lahore University of Management Sciences,Pakistan,http://web.lums.edu.pk/~ihsan/
Jia Wang,AT&T Labs,USA,http://www.research.att.com/people/Wang_Jia/custom/index.html
Jeongkeun Lee,Barefoot Networks,USA,https://www.linkedin.com/in/jeongkeun-jk-lee-830b215/
Junchen Jiang,University of Chicago,USA,https://www.cs.cmu.edu/~junchenj/
Kai Chen,HKUST,Hong Kong SAR,http://www.cse.ust.hk/~kaichen/
Kate Lin,National Chiao Tung University,Taiwan,http://people.cs.nctu.edu.tw/~katelin/
Kenjiro Cho,IIJ Research Lab,Japan,http://www.iijlab.net/~kjc/
Kun Tan,Huawei,China,https://www.linkedin.com/in/kun-tan-7993b114
KyoungSoo Park,KAIST,Korea,http://www.ndsl.kaist.edu/~kyoungsoo/
Marco Canini,KAUST,KSA,https://mcanini.github.io/
Marco Chiesa,KTH,Sweden,https://marchiesa.bitbucket.io/
Mohammad Alizadeh,MIT,USA,https://people.csail.mit.edu/alizadeh/
Monia Ghobadi,Microsoft Research,USA,https://www.microsoft.com/en-us/research/people/mgh/
Mosharaf Chowdhury,University of Michigan,USA,http://www.mosharaf.com/
Ratul Mahajan,Intentionnet,USA,https://ratul.org/
Soudeh Ghorbani ,University of Wisconsin-Madison,USA,http://ghorban2.web.engr.illinois.edu/
Theophilus Benson,Brown University,USA,https://cs.brown.edu/people/faculty/tbenson2/
Vincent Liu,University of Pennsylvania,USA,http://vincen.tl/
Vyas Sekar,CMU,USA,https://users.ece.cmu.edu/~vsekar/
Xin Jin,Johns Hopkins University,USA,https://www.cs.jhu.edu/~xinjin/
Yusuf Sarwar,Bangladesh University of Engineering and Technology,Bangladesh,https://sites.google.com/site/ysarwar/
Zhi-Li Zhang,University of Minnesota,USA,http://www-users.cs.umn.edu/~zhzhang/
